year,model,body_style,price,mileage,city
2024,HR-V,SUV,22995.0,31200.0,Syracuse
2024,Trailblazer,SUV,22999.0,11166.0,Baldwinsville
2024,Trax,SUV,23000.0,10434.0,Baldwinsville
2024,Compass,SUV,23444.0,18192.0,Syracuse
2024,Trailblazer,SUV,23555.0,21009.0,Syracuse
2024,Trailblazer,SUV,23888.0,9400.0,Bridgeport
2024,Trax,SUV,24499.0,6974.0,Syracuse
2024,Civic,Hatchback,24995.0,15300.0,Syracuse
2024,Compass,SUV,24999.0,10731.0,Syracuse
2023,Venue,SUV,18488.0,19942.0,Liverpool
2023,Taos,SUV,21499.0,20816.0,Syracuse
2023,Seltos,SUV,22488.0,30058.0,Liverpool
2023,Seltos,SUV,22896.0,18930.0,Cicero
2023,Equinox,SUV,22999.0,24791.0,Baldwinsville
2023,Equinox,SUV,22999.0,13501.0,Baldwinsville
2023,Sportage,SUV,22999.0,26945.0,Baldwinsville
2023,Sportage,SUV,23499.0,26183.0,Cicero
2023,Niro,SUV,23500.0,13569.0,Syracuse
2023,Encore GX,SUV,23529.0,12282.0,Cicero
2023,Niro,SUV,23688.0,43448.0,Liverpool
2023,Sportage,SUV,23888.0,19581.0,Liverpool
2023,Renegade,SUV,23890.0,8195.0,Cicero
2023,Seltos,SUV,23998.0,24175.0,Cicero
2023,Equinox,SUV,24000.0,10499.0,Baldwinsville
2023,HR-V,SUV,24122.0,23337.0,Liverpool
2023,Sportage Hybrid,SUV,24152.0,36201.0,Cicero
2023,Escape,SUV,24300.0,17893.0,Syracuse
2023,Civic,Hatchback,24355.0,40782.0,Liverpool
2023,HR-V,SUV,24455.0,17575.0,Liverpool
2023,Equinox,SUV,24701.0,18724.0,Cicero
2023,CX-5,SUV,24730.0,19971.0,Cicero
2023,Escape,SUV,24745.0,19855.0,Cicero
2023,Sportage,SUV,24791.0,30617.0,Cicero
2023,Rogue,SUV,24993.0,33378.0,Bridgeport
2023,Escape,SUV,25000.0,11564.0,Syracuse
2022,Ioniq Hybrid,Hatchback,17800.0,54993.0,East Syracuse
2022,Venue,SUV,17805.0,27063.0,Cicero
2022,Outlander Sport,SUV,17995.0,51042.0,Syracuse
2022,Niro,SUV,18442.0,70211.0,Syracuse
2022,Spark,Hatchback,18455.0,1251.0,Liverpool
2022,Kona,SUV,18765.0,61580.0,Syracuse
2022,Equinox,SUV,19000.0,31282.0,Baldwinsville
2022,Eclipse Cross,SUV,19282.0,63995.0,Cicero
2022,Kona,SUV,19599.0,50542.0,Bridgeport
2022,Escape,SUV,19945.0,61912.0,Auburn
2022,Equinox,SUV,19975.0,86123.0,Phoenix
2022,Trax,SUV,19976.0,9503.0,Central Square
2022,Encore GX,SUV,19994.0,25811.0,Central Square
2022,Bronco Sport,SUV,19999.0,90533.0,Syracuse
2022,Encore,SUV,19999.0,10798.0,Syracuse
2022,Compass,SUV,19999.0,56987.0,Baldwinsville
2022,Trax,SUV,20000.0,21775.0,Baldwinsville
2022,Encore,SUV,20274.0,20168.0,Cicero
2022,Tucson,SUV,20312.0,53051.0,Cicero
2022,Encore GX,SUV,20532.0,15956.0,Cicero
2022,Seltos,SUV,20579.0,22147.0,Cicero
2022,Kicks,SUV,20588.0,1411.0,Liverpool
2022,Sportage,SUV,20588.0,25210.0,Liverpool
2022,Outlander Sport,SUV,20649.0,20599.0,Cicero
2022,Trailblazer,SUV,20732.0,32528.0,East Syracuse
2022,Encore GX,SUV,20799.0,36448.0,Syracuse
2022,Taos,SUV,20900.0,30694.0,Syracuse
2022,Escape,SUV,20904.0,57659.0,Carthage
2022,Corolla Cross,SUV,20995.0,59989.0,Syracuse
2022,Equinox,SUV,20999.0,32231.0,Baldwinsville
2022,Trailblazer,SUV,21000.0,35588.0,Baldwinsville
2022,Seltos,SUV,21088.0,43461.0,Liverpool
2022,Encore GX,SUV,21121.0,20379.0,Cicero
2022,Compass,SUV,21499.0,32832.0,Syracuse
2022,Compass,SUV,21499.0,32502.0,Syracuse
2022,Trailblazer,SUV,21625.0,40873.0,Central Square
2022,Equinox,SUV,21642.0,13719.0,Central Square
2022,Kona,SUV,21777.0,29468.0,Bridgeport
2022,Outlander,SUV,21913.0,32769.0,Carthage
2022,Equinox,SUV,21985.0,31423.0,Oswego
2022,Compass,SUV,21989.0,67012.0,Rome
2022,Edge,SUV,21999.0,59254.0,Syracuse
2022,Equinox,SUV,21999.0,30181.0,Baldwinsville
2022,Equinox,SUV,21999.0,35474.0,Baldwinsville
2022,Equinox,SUV,21999.0,33897.0,Baldwinsville
2022,Equinox,SUV,21999.0,28697.0,Baldwinsville
2022,Equinox,SUV,21999.0,20300.0,Baldwinsville
2022,Compass,SUV,21999.0,20462.0,Syracuse
2022,Compass,SUV,21999.0,25895.0,Syracuse
2022,Compass,SUV,21999.0,22888.0,Syracuse
2022,Compass,SUV,21999.0,21503.0,Syracuse
2022,Compass,SUV,21999.0,25436.0,Syracuse
2022,Equinox,SUV,22000.0,38106.0,Baldwinsville
2022,Compass,SUV,22000.0,22327.0,Syracuse
2022,Escape,SUV,22300.0,37217.0,Syracuse
2022,Escape,SUV,22351.0,18615.0,Camden
2022,Tiguan,SUV,22394.0,44890.0,Cicero
2022,Equinox,SUV,22500.0,37178.0,Cicero
2022,Trailblazer,SUV,22500.0,27515.0,Cicero
2022,Trailblazer,SUV,22571.0,14067.0,Cicero
2022,Seltos,SUV,22588.0,18693.0,Liverpool
2022,Equinox,SUV,22592.0,29004.0,Syracuse
2022,Tucson,SUV,22599.0,31742.0,Bridgeport
2022,Equinox,SUV,22600.0,34501.0,Cicero
2022,Equinox,SUV,22629.0,39549.0,Cicero
2022,Outlander,SUV,22790.0,48001.0,Boonville
2022,Trailblazer,SUV,22827.0,14622.0,Cicero
2022,Seltos,SUV,22888.0,31407.0,Liverpool
2022,Tucson,SUV,22899.0,52017.0,Bridgeport
2022,Equinox,SUV,22905.0,30409.0,Cicero
2022,Trailblazer,SUV,22935.0,35232.0,East Syracuse
2022,HR-V,SUV,22995.0,19365.0,Syracuse
2022,HR-V,SUV,22995.0,33460.0,Syracuse
2022,Escape,SUV,22995.0,24867.0,Auburn
2022,Equinox,SUV,22997.0,28090.0,Chittenango
2022,Encore GX,SUV,22999.0,26909.0,Oneida
2022,Trailblazer,SUV,22999.0,19490.0,Baldwinsville
2022,Equinox,SUV,22999.0,27382.0,Baldwinsville
2022,Equinox,SUV,23000.0,32159.0,Baldwinsville
2022,Eclipse Cross,SUV,23000.0,21160.0,Cicero
2022,Taos,SUV,23094.0,52783.0,Cicero
2022,Tiguan,SUV,23122.0,56840.0,Bridgeport
2022,Equinox,SUV,23294.0,34153.0,Central Square
2022,Compass,SUV,23299.0,27607.0,Syracuse
2022,Equinox,SUV,23375.0,25831.0,Central Square
2022,Encore GX,SUV,23389.0,8674.0,Syracuse
2022,Equinox,SUV,23425.0,40063.0,Central Square
2022,Equinox,SUV,23444.0,38287.0,Cicero
