BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,OVERALL_STARS,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,car_key,comb08,cylinders,fuelType,make,model,trany,VClass,year,youSaveSpend,baseModel,guzzler
SUV,MPV,AWD,5 or 7,5.0,0.15,4.0,2017 KIA SORENTO,23.0,4.0,Regular,Kia,Sorento FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Sorento,
SUV,MPV,AWD,5 or 7,5.0,0.15,4.0,2017 KIA SORENTO,24.0,4.0,Regular,Kia,Sorento FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Sorento,
SUV,MPV,AWD,5,5.0,0.147,4.0,2017 KIA SPORTAGE,25.0,4.0,Regular,Kia,Sportage FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Sportage,
SUV,MPV,AWD,5,5.0,0.147,4.0,2017 KIA SPORTAGE,26.0,4.0,Regular,Kia,Sportage FE FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-500.0,Sportage,
SUV,MPV,AWD,5,5.0,0.147,4.0,2017 KIA SPORTAGE,23.0,4.0,Regular,Kia,Sportage FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Sportage,
SUV,MPV,AWD,5,5.0,0.147,4.0,2017 KIA SPORTAGE,23.0,4.0,Regular,Kia,Sportage AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Sportage,
SUV,MPV,AWD,5,4.0,0.169,4.0,2017 LINCOLN MKC,23.0,4.0,Regular,Lincoln,MKC FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,MKC,
SUV,MPV,AWD,5,4.0,0.169,4.0,2017 MAZDA CX-5,27.0,4.0,Regular,Mazda,CX-5 2WD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-250.0,CX-5,
SUV,MPV,AWD,5,4.0,0.169,4.0,2017 MAZDA CX-5,26.0,4.0,Regular,Mazda,CX-5 4WD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-500.0,CX-5,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,27.0,4.0,Regular,Mitsubishi,Outlander 2WD,Automatic (AV-S6),Small Sport Utility Vehicle 2WD,2017.0,-250.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,25.0,4.0,Regular,Mitsubishi,Outlander Sport 2WD,Manual 5-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,27.0,4.0,Regular,Mitsubishi,Outlander Sport 2WD,Automatic (AV-S6),Small Sport Utility Vehicle 2WD,2017.0,-250.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,26.0,4.0,Regular,Mitsubishi,Outlander 4WD,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2017.0,-500.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,26.0,4.0,Regular,Mitsubishi,Outlander Sport 4WD,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2017.0,-500.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,25.0,4.0,Regular,Mitsubishi,Outlander Sport 2WD,Automatic (AV-S6),Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Outlander,
SUV,MPV,AWD,7,5.0,0.164,4.0,2017 MITSUBISHI OUTLANDER,24.0,4.0,Regular,Mitsubishi,Outlander Sport 4WD,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Outlander,
SUV,MPV,AWD,7,5.0,0.179,4.0,2017 NISSAN PATHFINDER,23.0,6.0,Regular,Nissan,Pathfinder 2WD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Pathfinder,
SUV,MPV,AWD,5 or 7,4.0,0.164,4.0,2017 NISSAN ROGUE,29.0,4.0,Regular,Nissan,Rogue FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,250.0,Rogue,
SUV,MPV,AWD,5 or 7,4.0,0.164,4.0,2017 NISSAN ROGUE,27.0,4.0,Regular,Nissan,Rogue AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2017.0,-250.0,Rogue,
SUV,MPV,AWD,5 or 7,4.0,0.164,4.0,2017 NISSAN ROGUE,34.0,4.0,Regular,Nissan,Rogue Hybrid  FWD,Automatic (AV-S7),Small Sport Utility Vehicle 2WD,2017.0,1500.0,Rogue,
SUV,MPV,AWD,5 or 7,4.0,0.164,4.0,2017 NISSAN ROGUE,33.0,4.0,Regular,Nissan,Rogue Hybrid  AWD,Automatic (AV-S7),Small Sport Utility Vehicle 4WD,2017.0,1250.0,Rogue,
SW,MPV,AWD,5,5.0,0.151,4.0,2017 SUBARU CROSSTREK,26.0,4.0,Regular,Subaru,Crosstrek AWD,Manual 5-spd,Small Sport Utility Vehicle 4WD,2017.0,-500.0,Crosstrek,
