car_key,OVERALL_STARS,NUM_OF_SEATING,comb08,Avg_Price,Avg_Mileage,youSaveSpend,cylinders,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,utility_score
2017 JEEP PATRIOT,4.0,5.0,25.0,,,-1000.0,4.0,0.219,3.0,
2017 JEEP RENEGADE,4.0,5.0,24.0,,,-1500.0,4.0,0.23,3.0,
2017 KIA SORENTO,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2017 KIA SORENTO,5.0,6.0,24.0,,,-1500.0,4.0,0.15,4.0,
2017 KIA SPORTAGE,5.0,5.0,25.0,,,-1000.0,4.0,0.147,4.0,
2017 KIA SPORTAGE,5.0,5.0,26.0,,,-500.0,4.0,0.147,4.0,
2017 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2017 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2017 LINCOLN MKC,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2017 MAZDA CX-5,4.0,5.0,27.0,,,-250.0,4.0,0.169,4.0,
2017 MAZDA CX-5,4.0,5.0,26.0,,,-500.0,4.0,0.169,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,27.0,,,-250.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,-1000.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,27.0,,,-250.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,26.0,,,-500.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,26.0,,,-500.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,-1000.0,4.0,0.164,4.0,
2017 MITSUBISHI OUTLANDER,5.0,7.0,24.0,,,-1500.0,4.0,0.164,4.0,
2017 NISSAN PATHFINDER,5.0,7.0,23.0,,,-1750.0,6.0,0.179,4.0,
2017 NISSAN ROGUE,4.0,6.0,29.0,,,250.0,4.0,0.164,4.0,
2017 NISSAN ROGUE,4.0,6.0,27.0,,,-250.0,4.0,0.164,4.0,
2017 NISSAN ROGUE,4.0,6.0,34.0,,,1500.0,4.0,0.164,4.0,
2017 NISSAN ROGUE,4.0,6.0,33.0,,,1250.0,4.0,0.164,4.0,
2017 SUBARU CROSSTREK,5.0,5.0,26.0,,,-500.0,4.0,0.151,4.0,
2017 SUBARU CROSSTREK,5.0,5.0,29.0,,,250.0,4.0,0.151,4.0,
2017 SUBARU FORESTER,5.0,5.0,28.0,,,0.0,4.0,0.169,4.0,
2017 SUBARU FORESTER,5.0,5.0,24.0,,,-1500.0,4.0,0.169,4.0,
2017 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2017 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2017 TOYOTA HIGHLANDER,5.0,7.5,28.0,,,0.0,6.0,0.169,4.0,
2017 TOYOTA HIGHLANDER,5.0,7.5,29.0,,,250.0,6.0,0.169,4.0,
2017 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2017 TOYOTA RAV4,5.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2017 TOYOTA RAV4,5.0,5.0,26.0,,,-500.0,4.0,0.169,4.0,
2017 TOYOTA RAV4,5.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2017 TOYOTA RAV4,5.0,5.0,24.0,,,-1500.0,4.0,0.169,4.0,
2017 TOYOTA RAV4,5.0,5.0,32.0,,,1000.0,4.0,0.169,4.0,
2017 VOLVO XC60,5.0,5.0,26.0,,,-500.0,4.0,0.176,4.0,
2017 VOLVO XC60,5.0,5.0,23.0,,,-1750.0,4.0,0.176,4.0,
2018 BUICK ENCORE,5.0,5.0,30.0,,,500.0,4.0,0.179,4.0,
2018 BUICK ENCORE,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2018 BUICK ENCORE,5.0,5.0,27.0,,,-250.0,4.0,0.179,4.0,
2018 BUICK ENCORE,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2018 BUICK ENVISION,5.0,5.0,25.0,,,-1000.0,4.0,0.159,4.0,
2018 BUICK ENVISION,5.0,5.0,24.0,,,-1500.0,4.0,0.159,4.0,
2018 CHEVROLET EQUINOX,4.0,5.0,28.0,,,0.0,4.0,0.165,4.0,
2018 CHEVROLET EQUINOX,4.0,5.0,26.0,,,-500.0,4.0,0.165,4.0,
2018 CHEVROLET EQUINOX,5.0,5.0,28.0,,,0.0,4.0,0.164,4.0,
2018 CHEVROLET EQUINOX,5.0,5.0,26.0,,,-500.0,4.0,0.164,4.0,
2018 FORD ECOSPORT,4.0,5.0,28.0,,,0.0,3.0,0.191,4.0,
2018 FORD ECOSPORT,4.0,5.0,25.0,,,-1000.0,4.0,0.191,4.0,
2018 FORD EDGE,5.0,5.0,24.0,,,-1500.0,4.0,0.155,4.0,
2018 FORD EDGE,5.0,5.0,24.0,,,-1500.0,4.0,0.155,4.0,
2018 FORD EDGE,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2018 GMC ACADIA,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2018 GMC ACADIA,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2018 GMC TERRAIN,4.0,5.0,26.0,,,-500.0,4.0,0.165,4.0,
2018 GMC TERRAIN,4.0,5.0,28.0,,,0.0,4.0,0.165,4.0,
2018 GMC TERRAIN,5.0,5.0,26.0,,,-500.0,4.0,0.164,4.0,
2018 GMC TERRAIN,5.0,5.0,28.0,,,0.0,4.0,0.164,4.0,
2018 HONDA CR-V,5.0,5.0,28.0,,,0.0,4.0,0.162,4.0,
2018 HONDA CR-V,5.0,5.0,30.0,,,500.0,4.0,0.162,4.0,
2018 HONDA CR-V,5.0,5.0,27.0,,,-250.0,4.0,0.162,4.0,
2018 HONDA CR-V,5.0,5.0,29.0,,,250.0,4.0,0.162,4.0,
2018 HONDA PILOT,5.0,7.5,23.0,,,-1750.0,6.0,0.164,4.0,
2018 HYUNDAI SANTA FE,5.0,6.5,23.0,,,-1750.0,4.0,0.157,4.0,
2018 HYUNDAI SANTA FE,5.0,6.5,24.0,,,-1500.0,4.0,0.157,4.0,
2018 HYUNDAI SANTA FE,5.0,6.5,23.0,,,-1750.0,4.0,0.157,4.0,
2018 HYUNDAI TUCSON,5.0,5.0,25.0,,,-1000.0,4.0,0.162,4.0,
2018 HYUNDAI TUCSON,5.0,5.0,23.0,,,-1750.0,4.0,0.162,4.0,
2018 HYUNDAI TUCSON,5.0,5.0,27.0,,,-250.0,4.0,0.162,4.0,
2018 HYUNDAI TUCSON,5.0,5.0,26.0,,,-500.0,4.0,0.162,4.0,
2018 HYUNDAI TUCSON,5.0,5.0,24.0,,,-1500.0,4.0,0.162,4.0,
2018 JEEP CHEROKEE,4.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
